isco88_1digit;isco88_1digit_label;isco88_2digit;isco88_2digit_label;isco88_4digit;isco88_4digit_label
0;Armed Forces;1;Armed Forces;110;Armed forces
1;Legislators, Senior Officials and Managers;11;Legislators and Senior Officials;1110;Legislators
1;Legislators, Senior Officials and Managers;11;Legislators and Senior Officials;1120;Senior government officials
1;Legislators, Senior Officials and Managers;11;Legislators and Senior Officials;1130;Traditional chiefs and heads of villages
1;Legislators, Senior Officials and Managers;11;Legislators and Senior Officials;1141;Senior officials of political-party organisations
1;Legislators, Senior Officials and Managers;11;Legislators and Senior Officials;1142;Senior officials of employers', workers' and other economic-interest organisations
1;Legislators, Senior Officials and Managers;11;Legislators and Senior Officials;1143;Senior officials of humanitarian and other special-interest organisations
1;Legislators, Senior Officials and Managers;12;Corporate Managers;1210;Directors and chief executives
1;Legislators, Senior Officials and Managers;12;Corporate Managers;1221;Production and operations department managers in agriculture, hunting, forestry and fishing
1;Legislators, Senior Officials and Managers;12;Corporate Managers;1222;Production and operations department managers in manufacturing
1;Legislators, Senior Officials and Managers;12;Corporate Managers;1223;Production and operations department managers in construction
1;Legislators, Senior Officials and Managers;12;Corporate Managers;1224;Production and operations department managers in wholesale and retail trade
1;Legislators, Senior Officials and Managers;12;Corporate Managers;1225;Production and operations department managers in restaurants and hotels
1;Legislators, Senior Officials and Managers;12;Corporate Managers;1226;Production and operations department managers in transport, storage and communications
1;Legislators, Senior Officials and Managers;12;Corporate Managers;1227;Production and operations department managers in business services
1;Legislators, Senior Officials and Managers;12;Corporate Managers;1228;Production and operations department managers in personal care, cleaning and related services
1;Legislators, Senior Officials and Managers;12;Corporate Managers;1229;Production and operations department managers not elsewhere classified
1;Legislators, Senior Officials and Managers;12;Corporate Managers;1231;Finance and administration department managers
1;Legislators, Senior Officials and Managers;12;Corporate Managers;1232;Personnel and industrial relations department managers
1;Legislators, Senior Officials and Managers;12;Corporate Managers;1233;Sales and marketing department managers
1;Legislators, Senior Officials and Managers;12;Corporate Managers;1234;Advertising and public relations department managers
1;Legislators, Senior Officials and Managers;12;Corporate Managers;1235;Supply and distribution department managers
1;Legislators, Senior Officials and Managers;12;Corporate Managers;1236;Computing services department managers
1;Legislators, Senior Officials and Managers;12;Corporate Managers;1237;Research and development department managers
1;Legislators, Senior Officials and Managers;12;Corporate Managers;1239;Other department managers not elsewhere classified
1;Legislators, Senior Officials and Managers;13;General Managers;1311;General managers in agriculture, hunting, forestry/ and fishing
1;Legislators, Senior Officials and Managers;13;General Managers;1312;General managers in manufacturing
1;Legislators, Senior Officials and Managers;13;General Managers;1313;General managers in construction
1;Legislators, Senior Officials and Managers;13;General Managers;1314;General managers in wholesale and retail trade
1;Legislators, Senior Officials and Managers;13;General Managers;1315;General managers of restaurants and hotels
1;Legislators, Senior Officials and Managers;13;General Managers;1316;General managers in transport, storage and communications
1;Legislators, Senior Officials and Managers;13;General Managers;1317;General managers of business services
1;Legislators, Senior Officials and Managers;13;General Managers;1318;General managers in personal care, cleaning and related services
1;Legislators, Senior Officials and Managers;13;General Managers;1319;General managers not elsewhere classified
2;Professionals;21;Physical, Mathematical And Engineering Science Professionals;2111;Physicists and astronomers
2;Professionals;21;Physical, Mathematical And Engineering Science Professionals;2112;Meteorologists
2;Professionals;21;Physical, Mathematical And Engineering Science Professionals;2113;Chemists
2;Professionals;21;Physical, Mathematical And Engineering Science Professionals;2114;Geologists and geophysicists
2;Professionals;21;Physical, Mathematical And Engineering Science Professionals;2121;Mathematicians and related professionals
2;Professionals;21;Physical, Mathematical And Engineering Science Professionals;2122;Statisticians
2;Professionals;21;Physical, Mathematical And Engineering Science Professionals;2131;Computer systems designers and analysts
2;Professionals;21;Physical, Mathematical And Engineering Science Professionals;2132;Computer programmers
2;Professionals;21;Physical, Mathematical And Engineering Science Professionals;2139;Computing professionals not elsewhere classified
2;Professionals;21;Physical, Mathematical And Engineering Science Professionals;2141;Architects, town and traffic planners
2;Professionals;21;Physical, Mathematical And Engineering Science Professionals;2142;Civil engineers
2;Professionals;21;Physical, Mathematical And Engineering Science Professionals;2143;Electrical engineers
2;Professionals;21;Physical, Mathematical And Engineering Science Professionals;2144;Electronics and telecommunications engineers
2;Professionals;21;Physical, Mathematical And Engineering Science Professionals;2145;Mechanical engineers
2;Professionals;21;Physical, Mathematical And Engineering Science Professionals;2146;Chemical engineers
2;Professionals;21;Physical, Mathematical And Engineering Science Professionals;2147;Mining engineers, metallurgists and related professionals
2;Professionals;21;Physical, Mathematical And Engineering Science Professionals;2148;Cartographers and surveyors
2;Professionals;21;Physical, Mathematical And Engineering Science Professionals;2149;Architects, engineers and related professionals not elsewhere classified
2;Professionals;22;Life Science And Health Professionals;2211;Biologists, botanists, zoologists and related professionals
2;Professionals;22;Life Science And Health Professionals;2212;Pharmacologists, pathologists and related professionals
2;Professionals;22;Life Science And Health Professionals;2213;Agronomists and related professionals
2;Professionals;22;Life Science And Health Professionals;2221;Medical doctors
2;Professionals;22;Life Science And Health Professionals;2222;Dentists
2;Professionals;22;Life Science And Health Professionals;2223;Veterinarians
2;Professionals;22;Life Science And Health Professionals;2224;Pharmacists
2;Professionals;22;Life Science And Health Professionals;2229;Health professionals (except nursing) not elsewhere classified
2;Professionals;22;Life Science And Health Professionals;2230;Nursing and midwifery professionals
2;Professionals;23;Teaching Professionals;2310;College, university and higher education teaching professionals
2;Professionals;23;Teaching Professionals;2320;Secondary education teaching professionals
2;Professionals;23;Teaching Professionals;2331;Primary education teaching professionals
2;Professionals;23;Teaching Professionals;2332;Pre-primary education teaching professionals
